score,story
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
4,"Zolang het de omgeving niet te veel aantast, vind ik het een goed idee."
4,"Windmolens zijn misschien niet mooi, maar ze zijn wel nodig voor een duurzame toekomst."
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
3,Zolang het netjes wordt uitgevoerd heb ik er geen problemen mee.
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
4,"Ik steun het idee van zonneparken, zeker als bewoners mogen meeprofiteren."
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
4,"Zolang het de omgeving niet te veel aantast, vind ik het een goed idee."
4,"Zolang het de omgeving niet te veel aantast, vind ik het een goed idee."
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
3,Zolang het netjes wordt uitgevoerd heb ik er geen problemen mee.
4,"Zolang het de omgeving niet te veel aantast, vind ik het een goed idee."
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
4,"Windmolens zijn misschien niet mooi, maar ze zijn wel nodig voor een duurzame toekomst."
4,"Ik steun het idee van zonneparken, zeker als bewoners mogen meeprofiteren."
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
1,"Windmolens verpesten het uitzicht. Zeker als ze dicht bij huis staan, ervaar ik ze als storend."
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
4,"Zolang het de omgeving niet te veel aantast, vind ik het een goed idee."
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
1,Waarom zouden wij in Drenthe moeten opdraaien voor de energiebehoefte van de Randstad?
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
2,"Ik sta niet onwelwillend tegenover zonneparken, zolang ze maar niet te dicht bij huis komen."
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
1,Waarom zouden wij in Drenthe moeten opdraaien voor de energiebehoefte van de Randstad?
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
3,"Zon en wind zijn prima, maar ik ben nog niet overtuigd van de noodzaak van grootschaligheid."
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
2,"Ik sta niet onwelwillend tegenover zonneparken, zolang ze maar niet te dicht bij huis komen."
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
5,We moeten echt alles op alles zetten voor duurzame energie. Zonnepanelen op elk dak!
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
5,"Wind en zon zijn cruciaal. Zelfs al staan ze dicht bij mijn huis, ik ben voor."
5,De toekomst is aan duurzame energie. We hebben geen tijd te verliezen.
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
2,"Ik sta niet onwelwillend tegenover zonneparken, zolang ze maar niet te dicht bij huis komen."
5,Ik voel me gerustgesteld als ik zie dat we investeren in zon- en windenergie.
4,"Windmolens zijn misschien niet mooi, maar ze zijn wel nodig voor een duurzame toekomst."
2,"Ik zie het nut er wel van in, maar het mag niet ten koste gaan van landbouwgrond."
2,"Ik sta niet onwelwillend tegenover zonneparken, zolang ze maar niet te dicht bij huis komen."
5,"Ook al woon ik er ver vandaan, ik steun de initiatieven volledig."
